REGION,PROCESSDAY,PROCESSDAY_HOUR,ORDER_COUNT,FISCALYEAR,FISCALQUARTER,FISCALMONTH,FISCALWEEK,DAYNUM
EMEA,20240210,18,16,FY25,Q1,M01,WK02,Saturday 
DAO,20240210,18,115,FY25,Q1,M01,WK02,Saturday 
DAO,20240210,19,108,FY25,Q1,M01,WK02,Saturday 
EMEA,20240210,19,10,FY25,Q1,M01,WK02,Saturday 
DAO,20240210,20,133,FY25,Q1,M01,WK02,Saturday 
EMEA,20240210,20,8,FY25,Q1,M01,WK02,Saturday 
DAO,20240210,21,82,FY25,Q1,M01,WK02,Saturday 
EMEA,20240210,21,5,FY25,Q1,M01,WK02,Saturday 
DAO,20240210,22,34,FY25,Q1,M01,WK02,Saturday 
DAO,20240210,23,31,FY25,Q1,M01,WK02,Saturday 
EMEA,20240211,00,1,FY25,Q1,M01,WK02,Sunday   
DAO,20240211,00,33,FY25,Q1,M01,WK02,Sunday   
DAO,20240211,01,23,FY25,Q1,M01,WK02,Sunday   
DAO,20240211,02,16,FY25,Q1,M01,WK02,Sunday   
APJ,20240211,02,2,FY25,Q1,M01,WK02,Sunday   
DAO,20240211,03,11,FY25,Q1,M01,WK02,Sunday   
APJ,20240211,03,1,FY25,Q1,M01,WK02,Sunday   
DAO,20240211,04,5,FY25,Q1,M01,WK02,Sunday   
DAO,20240211,05,1,FY25,Q1,M01,WK02,Sunday   
DAO,20240211,06,1,FY25,Q1,M01,WK02,Sunday   
DAO,20240211,07,7,FY25,Q1,M01,WK02,Sunday   
DAO,20240211,08,3,FY25,Q1,M01,WK02,Sunday   
EMEA,20240211,08,2,FY25,Q1,M01,WK02,Sunday   
DAO,20240211,09,8,FY25,Q1,M01,WK02,Sunday   
EMEA,20240211,09,1,FY25,Q1,M01,WK02,Sunday   
DAO,20240211,10,4,FY25,Q1,M01,WK02,Sunday   
DAO,20240211,11,5,FY25,Q1,M01,WK02,Sunday   
EMEA,20240211,11,1,FY25,Q1,M01,WK02,Sunday   
DAO,20240211,12,6,FY25,Q1,M01,WK02,Sunday   
EMEA,20240211,12,3,FY25,Q1,M01,WK02,Sunday   
EMEA,20240211,13,3,FY25,Q1,M01,WK02,Sunday   
DAO,20240211,13,16,FY25,Q1,M01,WK02,Sunday   
EMEA,20240211,14,14,FY25,Q1,M01,WK02,Sunday   
APJ,20240211,14,2,FY25,Q1,M01,WK02,Sunday   
DAO,20240211,14,40,FY25,Q1,M01,WK02,Sunday   
DAO,20240211,15,44,FY25,Q1,M01,WK02,Sunday   
APJ,20240211,15,3,FY25,Q1,M01,WK02,Sunday   
EMEA,20240211,15,8,FY25,Q1,M01,WK02,Sunday   
EMEA,20240211,16,521,FY25,Q1,M01,WK02,Sunday   
DAO,20240211,16,1725,FY25,Q1,M01,WK02,Sunday   
APJ,20240211,16,338,FY25,Q1,M01,WK02,Sunday   
EMEA,20240211,17,555,FY25,Q1,M01,WK02,Sunday   
DAO,20240211,17,2692,FY25,Q1,M01,WK02,Sunday   
APJ,20240211,17,231,FY25,Q1,M01,WK02,Sunday   
APJ,20240211,18,2,FY25,Q1,M01,WK02,Sunday   
DAO,20240211,18,620,FY25,Q1,M01,WK02,Sunday   
EMEA,20240211,18,103,FY25,Q1,M01,WK02,Sunday   
APJ,20240211,19,5,FY25,Q1,M01,WK02,Sunday   
EMEA,20240211,19,85,FY25,Q1,M01,WK02,Sunday   
DAO,20240211,19,394,FY25,Q1,M01,WK02,Sunday   
APJ,20240211,20,11,FY25,Q1,M01,WK02,Sunday   
EMEA,20240211,20,72,FY25,Q1,M01,WK02,Sunday   
DAO,20240211,20,382,FY25,Q1,M01,WK02,Sunday   
APJ,20240211,21,18,FY25,Q1,M01,WK02,Sunday   
DAO,20240211,21,356,FY25,Q1,M01,WK02,Sunday   
EMEA,20240211,21,81,FY25,Q1,M01,WK02,Sunday   
APJ,20240211,22,62,FY25,Q1,M01,WK02,Sunday   
DAO,20240211,22,334,FY25,Q1,M01,WK02,Sunday   
EMEA,20240211,22,50,FY25,Q1,M01,WK02,Sunday   
APJ,20240211,23,121,FY25,Q1,M01,WK02,Sunday   
EMEA,20240211,23,92,FY25,Q1,M01,WK02,Sunday   
DAO,20240211,23,357,FY25,Q1,M01,WK02,Sunday   
APJ,20240212,00,133,FY25,Q1,M01,WK02,Monday   
EMEA,20240212,00,19,FY25,Q1,M01,WK02,Monday   
DAO,20240212,00,281,FY25,Q1,M01,WK02,Monday   
APJ,20240212,01,287,FY25,Q1,M01,WK02,Monday   
EMEA,20240212,01,13,FY25,Q1,M01,WK02,Monday   
DAO,20240212,01,281,FY25,Q1,M01,WK02,Monday   
EMEA,20240212,02,5,FY25,Q1,M01,WK02,Monday   
DAO,20240212,02,540,FY25,Q1,M01,WK02,Monday   
APJ,20240212,02,207,FY25,Q1,M01,WK02,Monday   
DAO,20240212,03,239,FY25,Q1,M01,WK02,Monday   
EMEA,20240212,03,98,FY25,Q1,M01,WK02,Monday   
APJ,20240212,03,163,FY25,Q1,M01,WK02,Monday   
APJ,20240212,04,223,FY25,Q1,M01,WK02,Monday   
EMEA,20240212,04,31,FY25,Q1,M01,WK02,Monday   
DAO,20240212,04,39,FY25,Q1,M01,WK02,Monday   
EMEA,20240212,05,26,FY25,Q1,M01,WK02,Monday   
APJ,20240212,05,230,FY25,Q1,M01,WK02,Monday   
DAO,20240212,05,342,FY25,Q1,M01,WK02,Monday   
DAO,20240212,06,224,FY25,Q1,M01,WK02,Monday   
APJ,20240212,06,225,FY25,Q1,M01,WK02,Monday   
EMEA,20240212,06,55,FY25,Q1,M01,WK02,Monday   
APJ,20240212,07,174,FY25,Q1,M01,WK02,Monday   
DAO,20240212,07,125,FY25,Q1,M01,WK02,Monday   
EMEA,20240212,07,142,FY25,Q1,M01,WK02,Monday   
DAO,20240212,08,87,FY25,Q1,M01,WK02,Monday   
EMEA,20240212,08,383,FY25,Q1,M01,WK02,Monday   
APJ,20240212,08,156,FY25,Q1,M01,WK02,Monday   
DAO,20240212,09,54,FY25,Q1,M01,WK02,Monday   
EMEA,20240212,09,759,FY25,Q1,M01,WK02,Monday   
APJ,20240212,09,107,FY25,Q1,M01,WK02,Monday   
EMEA,20240212,10,929,FY25,Q1,M01,WK02,Monday   
DAO,20240212,10,54,FY25,Q1,M01,WK02,Monday   
APJ,20240212,10,140,FY25,Q1,M01,WK02,Monday   
EMEA,20240212,11,992,FY25,Q1,M01,WK02,Monday   
DAO,20240212,11,104,FY25,Q1,M01,WK02,Monday   
APJ,20240212,11,139,FY25,Q1,M01,WK02,Monday   
APJ,20240212,12,120,FY25,Q1,M01,WK02,Monday   
DAO,20240212,12,285,FY25,Q1,M01,WK02,Monday   
EMEA,20240212,12,955,FY25,Q1,M01,WK02,Monday   
APJ,20240212,13,84,FY25,Q1,M01,WK02,Monday   
DAO,20240212,13,703,FY25,Q1,M01,WK02,Monday   
